Original name,Name (key),Crop,Stage,Treatment,Rate (lb/ac),Rate (note),Sand-Silt-Clay,Sand-Silt-Clay (note),OM,pH,Nitrate N,Po4P of pH < 6,Po4P of pH > 6,Potassium,Magnesium,Calcium,Sulfur,Zinc,Manganese,Copper,Iron,Boron,Potassium (CEC),Magnesium (CEC),Calcium (CEC),Sodium (cation) (CEC),Hydrogen (cation) (CEC),Total CEC (CEC),SO4 (conductivity),Chlorine (conductivity),Sodium (conductivity),EC (conductivity),Fizz Test (conductivity),Water Soluble Carbon,H2O Capacity %,Orthophosphate-p (H3A Extraction),Phosphorous (H3A Extraction),Potassium (H3A Extraction),Magnesium (H3A Extraction),Calcium (H3A Extraction),Sodium (H3A Extraction),Iron (H3A Extraction),Aluminum (H3A Extraction),Nitrate (WSE),Ammonical Nitogen (WSE),Orthophosphate-P (WSE),Carbon (WSE),Total Nitrogen (WSE),CO2C Burst (Haney),Organic carbon (Haney),Organic nitrogen (Haney),Organic C/N ration (Haney),Haney Test,Nitrogen Credit via Haney,Alternaria (Pathogen),Collectotrichum (Pathogen),Clindrocarpon (Pathogen),Fusarium (Pathogen),Phytophthora (Pathogen),Pythium (Pathogen),Rhizoctonia (Pathogen),Stemphyllium (Pathogen),Verticillium (Beneficial),Macrophomina (Beneficial),Bptryosphaeria sp. (Beneficial),Aspergillus (Beneficial),Cladosporium (Beneficial),Penicillium (Beneficial),Rhizopus (Beneficial),Trichoderma (Beneficial)
Crain Farms Walnuts NH 700 9/20/19,Crain,Walnut,Fall,Novihum,700,,46-32-22,,3.1,6.1,96.3,,8.9,53.6,366.3,1444,31.4,4.7,24.1,2.4,46.8,0.4,1.2,26.4,62.3,1.1,9,10.5,94.2,33.7,29.7,0.9,1,,48.4,18.4,22,39,188,468,36,75,77,75,0.1,1.73,68.2,77,94,68.2,1.9,35.9,10.3,4,ND,ND,ND,++,++,ND,++,ND,ND,,,+,ND,+,+++,ND
Crain Farms Walnuts NH 1200 9/20/19,Crain,Walnut,Fall,Novihum,1200,,48-32-20,,3.4,6,134.4,,8.2,50.4,354.7,1372,44.6,28.2,25.9,2.3,48.6,0.4,1.2,26.4,61.2,1.2,10,10.1,133.8,29.7,31.7,1.2,1,,43.1,23.1,26,35,199,485,37,63,58,157,0.7,2.85,124.5,159.6,94,124.5,1.9,65.5,10.8,5,ND,ND,ND,++,++,ND,++,ND,ND,,,+,ND,+,+++,ND
Crain Farms Walnuts  9/23/20,Crain,Walnut,Fall,Control,0,,42-32-26,,2.7,6.9,29.7,,16.9,114.3,612.7,2174.5,24.7,0.6,15.5,4,47.7,1.2,1.7,30.3,64.6,2.3,1,16.7,74.1,73.7,89.7,0.9,1,,,14.5,18,36,135,127,48,60,76,34,1.3,2.49,290.1,40.7,57,290.1,5.4,53.7,9.1,11,,,,,,,,,,,,,,,,
Crain Farms Walnuts NH 700 9/23/20,Crain,Walnut,Fall,Novihum,700,,46-30-24,,4,6.2,41,,9.9,95.6,569.3,2048.2,34.8,1.2,20.9,4.4,91.4,1.1,1.5,28.1,60.7,1.7,8,15.5,104.4,46.8,66.3,1,1,,,14.7,19,33,157,161,41,72,63,77,1.8,2.69,401.3,79.1,96,401.3,0.3,1337.7,13.6,4,,,,,,,,,,,,,,,,
Crain Farms Walnuts NH 1200 9/23/20,Crain,Walnut,Fall,Novihum,1200,,50-30-20,,4,6.2,64.7,,20,113.4,659.1,2425.3,66.1,2.4,28.6,4.1,93.8,1.2,1.5,27.5,60.8,2.1,8,18.3,198.3,86.9,100.4,2.5,1,,,19,23,36,199,186,54,68,56,231,3.5,2.94,369.8,245.1,51,369.8,10.6,34.9,9.9,19,,,,,,,,,,,,,,,,
JV Farms Ranch 310 Hemp  10/16/19,JV,Hemp,,Control,0,,50-38-12,,1.4,7.8,26.6,,12.4,90.8,321.8,2149.9,137,2.4,15.4,1.1,14.1,1.1,1.6,18.6,74.5,5.2,0,14.4,411,119,173.9,1,1,,44.5,135.4,142,44,212,1894,142,19,32,29,0.3,2.76,87.5,31.9,10,87.5,2.6,33.7,2.1,3,,,,,,,,,,,,,,,,
JV Farms Ranch 310 Hemp  10/16/19,JV,Hemp,,Novihum,700,est,52-36-12,,1.3,7.8,36.4,,14.5,84.4,303.6,2024.6,111.2,1.4,15.2,1,9.4,1,1.6,18.5,74,5.8,0,13.7,333.6,154.7,182.3,1.1,1,,44.5,175.8,188,47,232,1964,182,22,35,44,0.1,3.06,73.3,46.9,13,73.3,2.8,26.2,2.3,4,,,,,,,,,,,,,,,,
JV Farms 318 Dispersa,JV,Lettuce,Winter planting,Novihum,700,est,12-62-26,,3.4,8.2,18.6,,31,205.9,409,2653.3,28.2,0.1,7.7,6,20.6,1.8,2.9,18.8,73,5.3,0,18.2,84.6,97,223.1,0.7,3,,,149,153,145,323,4487,281,41,66,19,1.7,8.86,184.5,30.8,8,184.5,10.1,18.3,3.7,7,,,,,,,,,,,,,,,,
JV Farms 319 Dispersa,JV,Lettuce,Winter planting,Novihum,700,est,10-62-28,,3,7.9,38.2,,106.6,186.6,440.8,2778.5,61.3,0.4,8.5,6.6,23.3,1.7,2.5,19.3,72.8,5.3,0,19.1,183.9,94.7,233.3,1.2,3,,,140,150,113,298,4403,230,40,61,36,1.9,13.81,191.7,45.8,24,191.7,7.9,24.3,5.1,12,,,,,,,,,,,,,,,,
JV Farms 324,JV,Lettuce,Winter planting,Control,0,,16-54-30,,3.5,8,52.6,,60.3,280,422.8,2770.8,35.7,0.9,10.2,5.3,23,2,3.8,18.6,73.2,4.3,0,18.9,107.1,72.7,187.5,1.1,2,,,161,164,151,240,3723,143,35,57,46,1.4,13.19,202.2,57,50,202.2,9.6,21.1,8,22,,,,,,,,,,,,,,,,
JV Farms 318 Dispersa,JV,Lettuce,Winter Harvest,Novihum,700,est,16-58-26,,2.5,7.9,60,,19,270.5,524.8,3456.8,74.4,0.7,5.6,3.8,24.5,1.3,2.9,18.2,71.7,7.2,0,24.1,223.2,117.7,399.5,1.3,3,,,147.1,166,106,244,3138,210,32,50,28,2.5,3.91,133.1,32.5,31,133.1,2,66.6,4.6,9,,,,,,,,,,,,,,,,
JV Farms 319 Dispersa,JV,Lettuce,Winter Harvest,Novihum,700,est,12-62-26,,2.3,7.9,64.6,,26,294.4,587.7,3753.4,175.9,0.8,7,5,27.7,1.6,2.8,18.3,70.2,8.6,0,26.7,527.7,244.8,530.4,2,3,,,131.7,151,109,281,3681,283,35,52,27,1.7,4.45,146.6,30.2,23,146.6,1.5,97.7,3.9,5,,,,,,,,,,,,,,,,
JV Farms 324,JV,Lettuce,Winter Harvest,Control,0,,20-52-28,,2.6,8.3,26.9,,22.9,344.6,522.6,3628.5,24.2,0.5,5.9,3.5,25.9,1.5,3.6,17.8,74.1,4.4,0,24.5,72.6,45.4,247.8,0.7,3,,,136.3,142,135,250,3538,139,45,65,10,2.4,2.58,144.6,14.5,29,144.6,2.1,68.9,4.6,8,,,,,,,,,,,,,,,,
JV Farms 330 NH25,JV,Lettuce,Winter planting,Novihum,700,est,42-38-20,,2,8,17.2,,32.8,98.9,260.6,1990.6,17.7,0.5,9.8,1.7,16.9,1,2,17,77.7,3.2,0,12.8,53.1,47.4,95.5,0.6,3,,,115,116,65,190,2030,88,31,31,16,2.2,9.12,206.3,28,20,206.3,9.8,21.1,5,12,,,,,,,,,,,,,,,,
JV Farms 332 NH25,JV,Lettuce,Winter planting,Novihum,700,est,48-26-26,,2.9,7.9,43.7,,67,166.8,462.3,2781.1,35.2,0.9,8.9,5.8,23.2,1.3,2.3,20.3,73.2,4.2,0,19,105.6,44.1,185.9,0.9,2,,,128,129,74,218,2508,114,30,39,43,2.5,12.77,235,55.2,41,235,9.7,24.2,7.4,19,,,,,,,,,,,,,,,,
JV Farms 346 Dispersa,JV,Lettuce,Winter planting,Novihum,700,est,40-30-30,,3,7.9,35.6,,45.1,163.8,426.4,2613.4,23.4,0.7,10.4,6.5,19.4,1.5,2.4,20.1,73.9,3.5,0,17.7,70.2,66.4,144.5,0.9,2,,,187,189,75,207,2154,107,26,57,28,2,10.53,205.3,37.4,25,205.3,7.4,27.7,5.3,11,,,,,,,,,,,,,,,,
JV Farms 347,JV,Lettuce,Winter planting,Control,0,,52-24-24,,2.5,7.8,50.7,,42,169.2,353.6,2318.7,19.2,0.3,6.6,4.6,16.5,1,2.8,19,74.7,3.4,0,15.5,57.6,38.9,121.6,0.9,2,,,310,312,114,235,2316,128,36,67,39,1.6,10.5,169.8,46.8,20,169.8,6,28.3,4.3,9,,,,,,,,,,,,,,,,
Kalin Farms Onion after aplic  10/5/19,Kalin,Onion,"After Aplic, pre-plant",Control,0,,62-22-16,,1.7,7.8,27.8,,13.8,89.8,369.5,2337.9,79.7,0.6,6.2,0.7,11.6,1,1.5,19.7,74.6,4.1,0,15.6,239.1,75.6,149.7,0.7,1,,42.2,89.5,96,44,281,2755,165,16,37,28,0.2,2.52,110.8,29,7,110.8,0.8,138.5,1.9,1,ND,ND,ND,+,ND,ND,ND,ND,ND,ND,,++,ND,++,++,ND
Kalin Farms Onion after aplic NH-350 10/5/19,Kalin,Onion,"After Aplic, pre-plant",Novihum,350,,66-18-16,,1.8,7.7,26.7,,11.9,87.8,355.5,2351.4,64.6,0.7,7,0.7,13.3,1,1.4,19.1,75.6,3.8,0,15.5,193.8,81.7,139.2,0.7,1,,44.78,97.1,110,39,222,1501,130,13,31,27,0.3,3.03,103.2,28.5,16,103.2,1.2,86,2.8,2,ND,ND,ND,+,ND,+,ND,ND,ND,+,,++,ND,++,++,ND
Kalin Farms Onion after aplic NH-700 10/5/19,Kalin,Onion,"After Aplic, pre-plant",Novihum,700,,66-16-18,,1.8,7.7,31.9,,8.9,88.9,372.5,2494,73.4,0.6,6.3,0.7,11.6,1,1.4,18.8,75.4,4.4,0,16.5,220.2,114.9,169.3,0.8,1,,46.4,90.6,102,37,242,1808,181,14,33,43,0.2,1.15,90.5,44.5,11,90.5,1.3,69.6,2.1,2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,,++,ND,++,++,ND
Kalin Farms Onion Mid-growth  2/28/20,Kalin,Onion,Mid-growth,Control,0,,56-24-20,,2.2,8.6,17.3,,7,65.7,359.5,1267.4,48.3,0.6,4.6,0.8,8,0.9,1.7,29.7,62.8,5.8,0,10.1,144.9,44.2,135.5,0.6,1,,,91.4,102,51,222,2733,117,22,32,22,1.2,2.04,175.1,28,5.3,175.1,4.8,35.6,2.8,4,,,,,,,,,,,,,,,,
Kalin Farms Onion Mid-growth NH-350 2/28/20,Kalin,Onion,Mid-growth,Novihum,350,,62-16-22,,2.4,8.6,16.3,,5.9,57.9,344.9,1220,39.5,0.7,4.4,0.7,10,0.8,1.5,29.7,62.9,5.8,0,9.7,118.5,34.2,130.9,0.6,1,,,96,104,51,232,2450,140,23,37,20,0.3,2.15,152.7,21.4,5.6,152.7,1.1,138.8,2.2,1,,,,,,,,,,,,,,,,
