ID,Multiyear ID,Single or multiple application,Operator,Trial Type,Trial Status,Country,Location/Place,Year of Results,Crop,Seed/Transplant,Novihum Product,Granulate Size,Base Material Origin,Rate Novihum in kg/m²,Rate Novihum in Vol%,Rate Novihum in Mass%,Application Depth in m,Application Wide in m,Application Technique,Application Periode,Other Products,Fert flag,Nitrogen Compensation,Compost Manure,Drought Trial,Irrigation Level in %,Soil note,Soil Type in Numbers of Sand Silt Clay,Sand,Silt,Clay,Soil Type/Substrate,pH (Method not Known,pH (in H2O),pH (in KCl-Solution),pH (in CaCl2-Solution),Corg-Level Qualitativ,Corg-Level Quantitativ,Growth Conditions,Controlled Conditions,Result Control (Data as Recieved ),Unit1,Result Novihum (Data as Recieved),Unit2,Result Control (Edited by Novihum),Unit3,Result Novihum (Edited by Novihum),Unit4,Relative Yield difference,Statistical Significant,Standard Deviation Control,Standard Deviation Novihum,Earlier Higher Yield,Visible Quality Difference,Additional Information,Further Addition Information,Bulk Density,Row Number in Excel,Trial Quality for NN,App rate,Rel yield
17,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Potato,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,76;17;7,76,17,7,loamy sand,,8.4,7.9,,Low,0.05,free,No,131.6,dt/ha,147.1,dt/ha,1.316,kg/m²,1.471,kg/m²,0.12,FALSE,,,FALSE,+,,,,4,+,18000,0.12
18,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Potato,Seeds,Novihum (discontinued),not sieved,Lausitz,3.6,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,73;17;10,73,17,10,loamy sand,,8.4,7.9,,Low,0.05,free,No,131.6,dt/ha,121.3,dt/ha,1.316,kg/m²,1.213,kg/m²,-0.08,FALSE,,,FALSE,-,,,,5,0,36000,-0.08
19,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Alfalfa,Seeds,Novihum (discontinued),not sieved,Lausitz,0.9,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,70;20;10,70,20,10,loamy sand,,8.4,7.9,,Low,0.05,free,No,51.4,dt/ha,57.4,dt/ha,0.514,kg/m²,0.574,kg/m²,0.12,FALSE,,,FALSE,+,,,,6,0,9000,0.12
20,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2001,Alfalfa,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,76;16;8,76,16,8,loamy sand,,8.4,7.9,,Low,0.05,free,No,51.4,dt/ha,58,dt/ha,0.514,kg/m²,0.58,kg/m²,0.13,FALSE,,,FALSE,+,,,,7,0,18000,0.13
21,,,LVG,Science,closed,Germany,Heidelberg,2017,Bell Pepper,Transplants,Novihum (discontinued),02,Rhein,,2,,,,Pot,,,,TRUE,no,FALSE,,Klassmann substrat,peat,,,,peat,,,,,High,,protected,Yes,294.84,g/plant,191.77,g/plant,2.68,kg/m²,1.74,kg/m²,-0.35,FALSE,,,FALSE,o,,,,281,+,0,-0.35
22,,,LVG,Science,closed,Germany,Heidelberg,2017,Bell Pepper,Transplants,Novihum (discontinued),02,Rhein,,2,,,,Pot,,,,TRUE,no,FALSE,,Klassmann substrat,peat,,,,peat,,,,,High,,protected,Yes,294.84,g/plant,267.88,g/plant,2.68,kg/m²,2.43,kg/m²,-0.09,FALSE,,,FALSE,o,,,,282,+,0,-0.09
23,,,LVG,Science,closed,Germany,Heidelberg,2017,Bell Pepper,Transplants,Novihum (discontinued),02,Rhein,,2,,,,Pot,,,,TRUE,no,FALSE,,Klassmann substrat,peat,,,,peat,,,,,High,,protected,Yes,325.62,g/plant,234.82,g/plant,2.96,kg/m²,2.13,kg/m²,-0.28,FALSE,,,FALSE,o,,,,283,+,0,-0.28
24,,,LVG,Science,closed,Germany,Heidelberg,2017,Bell Pepper,Transplants,Novihum (discontinued),02,Rhein,,2,,,,Pot,,,,TRUE,no,FALSE,,Klassmann substrat,peat,,,,peat,,,,,High,,protected,Yes,325.62,g/plant,194.35,g/plant,2.96,kg/m²,1.77,kg/m²,-0.40,FALSE,,,FALSE,o,,,,284,0,0,-0.40
25,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Winter Rye,Seeds,Novihum (discontinued),not sieved,Lausitz,0.9,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,80;14;6,80,14,6,loamy sand,,,,,Low,,free,No,23.5,dt/ha,28.2,dt/ha,0.235,kg/m²,0.282,kg/m²,0.20,FALSE,,,FALSE,+,,,,8,+,9000,0.20
26,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Winter Rye,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,78;15;7,78,15,7,loamy sand,,,,,Low,,free,No,23.5,dt/ha,34.6,dt/ha,0.235,kg/m²,0.346,kg/m²,0.47,FALSE,,,FALSE,+,,,,9,0,18000,0.47
27,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Winter Wheat,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,76;17;7,76,17,7,sandy loam,,,,,Low,,free,No,22.1,dt/ha,26.9,dt/ha,0.221,kg/m²,0.269,kg/m²,0.22,FALSE,,,FALSE,+,,,,10,+,18000,0.22
28,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Winter Wheat,Seeds,Novihum (discontinued),not sieved,Lausitz,2.6,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,73;17;10,73,17,10,sandy loam,,,,,Low,,free,No,22.1,dt/ha,28,dt/ha,0.221,kg/m²,0.28,kg/m²,0.27,FALSE,,,FALSE,+,,,,11,+,26000,0.27
29,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Alfalfa,Seeds,Novihum (discontinued),not sieved,Lausitz,0.9,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,70;20;10,70,20,10,sandy loam,,,,,Low,,free,No,85.7,dt/ha,83,dt/ha,0.857,kg/m²,0.83,kg/m²,-0.03,FALSE,,,FALSE,o,,,,12,+,9000,-0.03
30,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2002,Alfalfa,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,76;16;8,76,16,8,sandy loam,,,,,Low,,free,No,85.7,dt/ha,88.4,dt/ha,0.857,kg/m²,0.884,kg/m²,0.03,FALSE,,,FALSE,o,,,,13,+,18000,0.03
31,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.01,,,0.2,1,Flat,,,,TRUE,no,FALSE,,Recultivation,94;4;2,94,4,2,sand,,,,,Low,,protected,Yes,21.8,dt/ha,19.4,dt/ha,0.218,kg/m²,0.194,kg/m²,-0.11,FALSE,,,FALSE,-,,,,341,0,100,-0.11
32,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.05,,,0.2,1,Flat,,,,TRUE,no,FALSE,,Recultivation,94;4;2,94,4,2,sand,,,,,Low,,protected,Yes,21.8,dt/ha,25.3,dt/ha,0.218,kg/m²,0.253,kg/m²,0.16,FALSE,,,FALSE,+,,,,342,+,500,0.16
33,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.1,,,0.2,1,Flat,,,,TRUE,no,FALSE,,Recultivation,94;4;2,94,4,2,sand,,,,,Low,,protected,Yes,21.8,dt/ha,20.8,dt/ha,0.218,kg/m²,0.208,kg/m²,-0.05,FALSE,,,FALSE,o,,,,343,0,1000,-0.05
34,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.25,,,0.2,1,Flat,,,,TRUE,no,FALSE,,Recultivation,94;4;2,94,4,2,sand,,,,,Low,,protected,Yes,21.8,dt/ha,29.1,dt/ha,0.218,kg/m²,0.291,kg/m²,0.33,FALSE,,,FALSE,+,,,,344,+,2500,0.33
35,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,FALSE,,Recultivation,94;4;2,94,4,2,sand,,,,,Low,,protected,Yes,21.8,dt/ha,21.2,dt/ha,0.218,kg/m²,0.212,kg/m²,-0.03,FALSE,,,FALSE,o,,,,345,0,5000,-0.03
36,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.01,,,0.2,1,Flat,,,,TRUE,no,FALSE,,sandy in-use,89;9;2,89,9,2,sand,,,,,Mid,,protected,Yes,90,dt/ha,80,dt/ha,0.9,kg/m²,0.8,kg/m²,-0.11,FALSE,,,FALSE,-,,,,346,+,100,-0.11
37,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.05,,,0.2,1,Flat,,,,TRUE,no,FALSE,,sandy in-use,89;9;2,89,9,2,sand,,,,,Mid,,protected,Yes,90,dt/ha,85,dt/ha,0.9,kg/m²,0.85,kg/m²,-0.06,FALSE,,,FALSE,o,,,,347,+,500,-0.06
38,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.1,,,0.2,1,Flat,,,,TRUE,no,FALSE,,sandy in-use,89;9;2,89,9,2,sand,,,,,Mid,,protected,Yes,90,dt/ha,97,dt/ha,0.9,kg/m²,0.97,kg/m²,0.08,FALSE,,,FALSE,+,,,,348,+,1000,0.08
39,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.25,,,0.2,1,Flat,,,,TRUE,no,FALSE,,sandy in-use,89;9;2,89,9,2,sand,,,,,Mid,,protected,Yes,90,dt/ha,84,dt/ha,0.9,kg/m²,0.84,kg/m²,-0.07,FALSE,,,FALSE,-,,,,349,+,2500,-0.07
40,,,BTU,Science,closed,Germany,Cottbus,2017,Summer Wheat,Seeds,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,FALSE,,sandy in-use,89;9;2,89,9,2,sand,,,,,Mid,,protected,Yes,90,dt/ha,92,dt/ha,0.9,kg/m²,0.92,kg/m²,0.02,FALSE,,,FALSE,o,,,,350,+,5000,0.02
41,,,JV Farms,Commercial,closed,USA,Yuma,2017,Romain Lettuce,Transplants,Novihum (discontinued),25,Rhein,0.1,,,0.2,1,Flat,,,,FALSE,,FALSE,,,49;33;18,49,33,18,loam,,,,,Low,,free,No,358.6,g,401.1,g,2.04,kg/m²,2.28,kg/m²,0.12,TRUE,,,FALSE,+,,,,313,+,1000,0.12
42,,,JV Farms,Commercial,closed,USA,Yuma,2017,Romain Lettuce,Transplants,Novihum (discontinued),25,Rhein,0.2,,,0.2,1,Flat,,,,FALSE,,FALSE,,,49;33;18,49,33,18,loam,,,,,Low,,free,No,358.6,g,393.3,g,2.04,kg/m²,2.23,kg/m²,0.10,TRUE,,,FALSE,+,,,,314,+,2000,0.10
43,,,JV Farms,Commercial,closed,USA,Yuma,2017,Broccoli,Transplants,Novihum (discontinued),25,Rhein,0.1,,,0.2,1,Flat,,,,FALSE,,FALSE,,,49;33;18,49,33,18,loam,,,,,Low,,free,No,317.5,g,361,g,3.14,kg/m²,3.57,kg/m²,0.14,FALSE,,,FALSE,+,,,,315,+,1000,0.14
44,,,JV Farms,Commercial,closed,USA,Yuma,2017,Broccoli,Transplants,Novihum (discontinued),25,Rhein,0.2,,,0.2,1,Flat,,,,FALSE,,FALSE,,,49;33;18,49,33,18,loam,,,,,Low,,free,No,317.5,g,347.5,g,3.14,kg/m²,3.43,kg/m²,0.09,FALSE,,,FALSE,+,,,,316,+,2000,0.09
45,,,CDTA,Science,closed,Spain,Murcia,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,FALSE,both,FALSE,,sandy soil,51;15;34,51,15,34,sandy clay loam,,,7.7,,Mid,1.8,protected,Partly,10.55,kg/m²,10.66,kg/m²,10.55,kg/m²,10.66,kg/m²,0.01,FALSE,,,FALSE,+,,,,301,0,5000,0.01
46,,,CDTA,Science,closed,Spain,Murcia,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,1,,,0.2,1,Flat,,,,FALSE,both,FALSE,,sandy soil,54;15;31,54,15,31,sandy clay loam,,,7.7,,Mid,1.8,protected,Partly,10.55,kg/m²,11.25,kg/m²,10.55,kg/m²,11.25,kg/m²,0.07,FALSE,,,FALSE,+,,,,302,+,10000,0.07
47,,,CDTA,Science,closed,Spain,Murcia,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,FALSE,no,FALSE,,sandy soil,46;15;39,46,15,39,sandy clay,,,7.4,,Mid,2.55,protected,Yes,,,,,,,,,,FALSE,,,FALSE,o,,,,303,+,5000,
48,,,CDTA,Science,closed,Spain,Murcia,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,1,,,0.2,1,Flat,,,,FALSE,no,FALSE,,sandy soil,46;15;39,46,15,39,sandy clay,,,7.6,,Mid,2.47,protected,Yes,,,,,,,,,,FALSE,,,FALSE,o,,,,304,+,10000,
49,,,Texas A&M,Science,closed,USA,Uvalde,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,clay in-use,28;25;47,28,25,47,clay,8.2,,,,Mid,1.65,free,Partly,39.7,t/ha,38.8,t/ha,3.97,kg/m²,3.88,kg/m²,-0.02,FALSE,,,TRUE,o,year 2,,,285,0,5000,-0.02
50,,,Texas A&M,Science,closed,USA,Uvalde,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,clay in-use,28;25;47,28,25,47,clay,8.2,,,,Mid,1.65,free,Partly,31.45,t/ha,38.1,t/ha,3.145,kg/m²,3.81,kg/m²,0.21,FALSE,,,TRUE,+,year 2,,,286,0,5000,0.21
51,,,Texas A&M,Science,closed,USA,Uvalde,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,TRUE,,clay in-use,28;25;47,28,25,47,clay,8.2,,,,Mid,2.32,free,Partly,51.1,t/ha,48.2,t/ha,5.11,kg/m²,4.82,kg/m²,-0.06,FALSE,,,FALSE,o,year 1 new,,,287,0,5000,-0.06
52,,,Texas A&M,Science,closed,USA,Uvalde,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,TRUE,50,clay in-use,28;25;47,28,25,47,clay,8.2,,,,Mid,2.32,free,Partly,39.2,t/ha,35.7,t/ha,3.92,kg/m²,3.57,kg/m²,-0.09,FALSE,,,FALSE,o,year 1 new,,,288,0,5000,-0.09
53,,,Texas A&M,Science,closed,USA,Weslaco,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,sandy in-use,63;12;25,63,12,25,sandy clay loam,7.9,,,,Low,0.64,free,Partly,15,t/ha,13.4,t/ha,1.5,kg/m²,1.34,kg/m²,-0.11,FALSE,,,FALSE,-,year 2,,,289,0,5000,-0.11
54,,,Texas A&M,Science,closed,USA,Weslaco,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,sandy in-use,63;12;25,63,12,25,sandy clay loam,7.9,,,,Low,0.64,free,Partly,13.6,t/ha,11.4,t/ha,1.36,kg/m²,1.14,kg/m²,-0.16,FALSE,,,FALSE,-,year 2,,,290,0,5000,-0.16
55,,,Texas A&M,Science,closed,USA,Weslaco,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,TRUE,,sandy in-use,63;12;25,63,12,25,sandy clay loam,7.9,,,,Low,0.4,free,Partly,14.8,t/ha,17.4,t/ha,1.48,kg/m²,1.74,kg/m²,0.18,FALSE,,,FALSE,+,year 1,,,291,0,5000,0.18
56,,,Texas A&M,Science,closed,USA,Weslaco,2017,Bell Pepper,Transplants,Novihum (discontinued),not sieved,Rhein,0.5,,,0.2,1,Flat,,,,TRUE,no,TRUE,50,sandy in-use,63;12;25,63,12,25,sandy clay loam,7.9,,,,Low,0.4,free,Partly,16.8,t/ha,17.1,t/ha,1.68,kg/m²,1.71,kg/m²,0.02,FALSE,,,FALSE,o,year 1,,,292,0,5000,0.02
57,,,Texas A&M,Science,closed,USA,Uvalde,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,clay in-use,28;25;47,28,25,47,clay,8.3,,,,Low,0.64,free,Partly,53.4,t/ha,64.7,t/ha,5.34,kg/m²,6.47,kg/m²,0.21,FALSE,,,FALSE,+,year 2,triploid,,293,0,5000,0.21
58,,,Texas A&M,Science,closed,USA,Uvalde,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,clay in-use,28;25;47,28,25,47,clay,8.3,,,,Low,0.64,free,Partly,43.7,t/ha,51.8,t/ha,4.37,kg/m²,5.18,kg/m²,0.19,FALSE,,,FALSE,+,year 2,triploid,,294,0,5000,0.19
59,,,Texas A&M,Science,closed,USA,Uvalde,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,clay in-use,28;25;47,28,25,47,clay,8.3,,,,Low,0.64,free,Partly,32.9,t/ha,35.1,t/ha,3.29,kg/m²,3.51,kg/m²,0.07,FALSE,,,FALSE,+,year 2,diploid,,295,+,5000,0.07
60,,,Texas A&M,Science,closed,USA,Uvalde,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,clay in-use,28;25;47,28,25,47,clay,8.3,,,,Low,0.64,free,Partly,27.4,t/ha,24.6,t/ha,2.74,kg/m²,2.46,kg/m²,-0.10,FALSE,,,FALSE,o,year 2,diploid,,296,0,5000,-0.10
61,,,Texas A&M,Science,closed,USA,Weslaco,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,sandy in-use,63;12;25,63,12,25,sandy clay loam,8,,,,Low,0.4,free,Partly,35.4,t/ha,36.9,t/ha,3.54,kg/m²,3.69,kg/m²,0.04,FALSE,,,FALSE,+,year 2,triploid,,297,0,5000,0.04
62,,,Texas A&M,Science,closed,USA,Weslaco,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,sandy in-use,63;12;25,63,12,25,sandy clay loam,8,,,,Low,0.4,free,Partly,35.7,t/ha,34.8,t/ha,3.57,kg/m²,3.48,kg/m²,-0.03,FALSE,,,FALSE,+,year 2,triploid,,298,0,5000,-0.03
63,,,Texas A&M,Science,closed,USA,Weslaco,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,,sandy in-use,63;12;25,63,12,25,sandy clay loam,8,,,,Low,0.4,free,Partly,24.4,t/ha,26.3,t/ha,2.44,kg/m²,2.63,kg/m²,0.08,FALSE,,,FALSE,+,year 2,diploid,,299,0,5000,0.08
64,,,Texas A&M,Science,closed,USA,Weslaco,2017,Watermelon,Transplants,Novihum (discontinued),not sieved,Lausitz,0.5,,,0.2,1,Flat,,,,FALSE,no,TRUE,50,sandy in-use,63;12;25,63,12,25,sandy clay loam,8,,,,Low,0.4,free,Partly,24.6,t/ha,29.4,t/ha,2.46,kg/m²,2.94,kg/m²,0.20,FALSE,,,FALSE,+,year 2,diploid,,300,+,5000,0.20
65,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2003,Winter Wheat,Seeds,Novihum (discontinued),not sieved,Lausitz,0.9,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,80;14;6,80,14,6,loamy sand,,,,,Low,,free,No,3.1,dt/ha,5.8,dt/ha,0.031,kg/m²,0.058,kg/m²,0.87,FALSE,,,FALSE,+,,,,14,+,9000,0.87
66,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2003,Winter Wheat,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,78;15;7,78,15,7,loamy sand,,,,,Low,,free,No,3.1,dt/ha,11.2,dt/ha,0.031,kg/m²,0.112,kg/m²,2.61,FALSE,,,FALSE,+,,,,15,+,18000,2.61
67,Welzow,single,FIB Vattenfall,Science,closed,Germany,Welzow,2003,Alfalfa,Seeds,Novihum (discontinued),not sieved,Lausitz,1.8,,,0.2,1,Flat,single,,,FALSE,no,FALSE,,Recultivation,76;17;7,76,17,7,sandy loam,,,,,Low,,free,No,,,,,,,,,,FALSE,,,FALSE,o,reseeding,,,16,+,18000,
