Number,Question,Human FB (KM)
11,Einschränkungen des Kindes resultieren aus Lernprozessen. Vom Anhänger welcher Bewegung könnte diese Aussage kommen ? A)Verhaltensmodell B)Tiefenpsychologisches Modell C)Psychobiologisches Modell,A
12,Worauf bezieht sich die meritokratische Triade? A)Soziale Mobilität B)Sozioökonomischer Status C)Sozialer Gradient D)Sozialer Drift,B
13,Welche Aussage zum Beck Depressions Inventar trifft NICHT zu ? A)Im BDI2 werden weder kognitive noch somatisch-viszerale Anzeichen erfasst B)Der BDI2 ist ein Test zur Selbstauskunft C)Der BDI2 beinhaltet auch Fragen zu kognitiven Komponenten,A
14,Was trifft bei der klassischen Konditionierung am wenigsten zu ? A)Es besteht aus der Verknüpfung eines unkonditionierten und eines konditionierten Reiz B)Begründer der klassischen Konditionierung war Pawlow C)Es wird auch respondantes Lernen genannt D)Sie wird durch Verstärkung und Bestrafung gekennzeichnet,D
15,Was ist PTBS nach ICD10 nicht? A)Wiederauftretende Angst B)Sozialer Rückzug C)Erhöhte Kontrollbedürftigkeit D)Vermeidungsverhalten E)Intrusion,C
16,"Wenn jemand Inhalte, zum Beispiel Wut gegenüber einer Person hat und diese nicht rauslassen kann sondern diese auf andere Personen übertragt nennt man das  A)Verschiebung B)Rationalisierung C)Verdrängung D)Konversion E)Projektion ",A
17,Auf die Theorie des transaxionalen Stressmodells nach Lazarus trifft NICHT zu A)In der primären Bewertung wird Stressor als positiv/negativ bewertet B)In der sekundären Bewertung werden die eigenen Ressourcen bewertet C)Coping kann problemorientiert oder emotionsorientiert sein D)Stress/Stressreaktion folgt als dritte Ebene auf Stressor (erste Ebene) und persönliche Stressverstärker ( zweite Ebene),D
18,Was trifft auf das Stroop Paradigma NICHT zu?Antworttext A)Die Kondition Wörter lesen beschreibt das Vorlesen der schwarzgedruckten Wörter B)Die Kondition Farben benennen beschreibt die Bennenung der Farben der Kästen C)Die Konditionen Farben benennen und Wörter lesen sind ein Maß für die Verarbeitungsgeschwindigkeit D)Bei der Interferenzbedingung müssen Begriffe unabhängig von ihrer farblichen Markierung vorgelesen werden E)Ein Defizit in der Interferenzbedingung kann auf eine gestörte Exekutivfunktion hinweisen,D
19,Was ist kein Maßstab für Reliabilität bei einem Test? A)Retest Reliabilität B)Paralleltest Reliabilität  C)Interne Konsistenz D)Testhalbierungs Reliabilität  E)Interrater Reliabilität,E
20,Was trifft gemäß der Definition der Aktivation zu? A)Beschreibt allgemeine körperliche Anregung die sich beispielsweise als Anspannung zeigt B)Kann im EEG nicht ermittelt werden C)Kann mittels Lügendetektor zu 100% zugeordnet werden,A
21,"Welche Risikoart liegt vor wenn das Risiko für Lungenkarzinome von Rauchern 2,5 mal höher ist als das von Nicht-Rauchern A)Relatives Risiko B)Attributives Risiko C)Absolutes Risiko D)Absolute Risikoreduktion E)Reduziertes Risiko  ",A
22,Auf welcher Skala kann man Alter von Probanden angeben A)Intervallskala B)Nominalskala C)Ordinalskala D)Verhältnisskala  E)Ratingskala,D
23,In welchem Gesundheitsbereich wird die ICF Klassifikation der WHO am ehesten verwendet? A)Diagnostik B)Rehabilitation C)Akutversorgung D)Primäre Prävention E)Gesundheitsförderung,B
24,"Frau M hat ein Mammakarzinom und ist sich mit er vorgeschlagenen Behandlung unsicher. Der Arzt sagt aber, ""Das ist die beste Behandlung, sie können mir vertrauen."" Welches Verhältnis liegt vor? A)Paternalistisch B)Informierend/konsumierend C)Partnerschaftlich ",A
25,Was beschreibt eine Konversionsstörung? A)Körperliche Beschwerden über mehrere Jahre B)Vorhandensein klinisch relevanter Schmerzen C)Übersteigerte Angst an einer Krankheit zu Leiden D)Beeinträchtigung motorischer und sensitiver Funktionen die auf eine neurologische Erkrankung hinweisen,D
26,"Ein Oberarzt der Chirurgie ist nicht zufrieden und entscheidet, das die Belegschaft um 10% erhöht werden soll. Dies wird für Praxisveränderungen sorgen. Welches ärztliche Grundprinzip wird verletzt? A)Professionalisierung B)Kosten-Nutzen Abwägung C)Funktionelle Spezifität D)Universalismus E)Kollektivismus ",C
27,Was sind die Ziele von primärer Prävention? A)Frühe Identifikation von Krankheiten B)Verhindern des Auftreten von Krankheiten C)Chronifizierung von Erkrankungen verhindern D)Möglichst frühe Intervention zur Krankheitsbekämpfung,B
28,Ein Patient meldet sich am 3.2.2023 zu einem Kochkurs zum Abnehmen am 3.3.23 an. In welcher Phase des transtheoretischen Modelles befindet sich der Patient. A)Bewusstwerden B)Sorglosigkeit C)Vorbereitung D)Durchführung E)Aufrechterhaltung,C
29,Welche der folgenden Aspekte gehören NICHT zu einer qualitativen Studie? A)Bestätigung von vorher festgelegten Hypothesen B)Entwicklung von Hypothesen C)Dynamischer offener flexibler Forschungsprozess D)Sicht der Betroffenen steht im Mittelpunkt des Interesses E)Erforschung von Lebenswelten und Interaktion,A
30,Nach welchem Prinzip handelt ein Mensch der versucht einer Bestrafung zu entgehen A)Ordnungs und Pflichtbewusstsein B)Autorität C)Moral D)Beziehungen E)Ethische Aspekte,B
31,Wofür wurde im Jahr 2020 im Gesundheitssystem am meisten ausgegeben A)Medikamente B)Ärztliche Leistungen C)Prävention D)Krankengeld E)Krankenhaus,E
32,"Die Patientin Frau Schneider äußert gegenüber ihrem Hausarzt, dass sie aufgrund ihrer beruflichen Situation im Moment schlecht schlafe. Trotz großem beruflichen Engagement wird sie immer wieder mit dem Verlust des Arbeitsplatzes konfrontiert. Mit welchem Modell lässt sich das erklären A)Anforderung-Kontroll Modell B)Beanspruchung-Belastungsmodell C)Job-Demands-Ressources Modell D)Modell der relativen Deprivation E)Modell der beruflichen Gratifikationskrisen ",E
33,"Welcher Soziologe definierte soziales Handeln als Handeln, welches an dem Handeln anderer Menschen orientiert ist A)Max weber B)George Mead C)Emil Durkheim D)Herbert Blumer E)Talcott Parsons ",A
34,"Ein neues Medikament soll getestet werden, welches Studiendesign eignet sich am besten? A)Kohortenstudie B)Fall-Kontroll-Studie C)Kontrollierte Randomisierte Studie D)Randomisierte Studie E)Querschnittsstudie",C
35,"Eine Patientin geht zur Ärzt*in und möchte die Covid Impfung , weil sie die Wahrscheinlichkeit zu Erkranken als hoch ansieht, Risikopatientin ist, sie die Impfung als wirksam sieht und als wichtiger als die Impfreaktionen bewertet. Welches Modell beschreibt das? A)Stressmodell nach Lazarus B)Modell des geplanten Verhaltens C)Health-Belief-Modell D)Kognitive Dissonanz ",C
36,Die Todesursachen haben sich im Verlauf des einundzwanzigsten Jahrhunderts von Infektionskrankheiten zu chronischen Erkrankungen verändert. Welcher Begriff beschreibt das? A)Altersstruktur B)Epidemiologische Transition C)Demografischer Wandel D)Drift,B
37,Welche Aussage zum Suizidgeschehen in Deutschland trifft NICHT zu? A)Mehr Mädchen als Jungen begehen Suizid B)Zweithäufigste Todesursache unter Jugendlichen C)Risiko steigt mit zunehmendem Alter D)Bei Mädchen sind doppelt so viel Suizidversuche,A
38,Patientin berichtet offen von Symptomen. Arzt hört ruhig zu und stellt vereinzelt Fragen. Welche  Gesprächbeschreibt das? A)Direktiv B)Nondirektiv C)Nonverbal D)paraverbal E)Autoritär,B
39,Definition Theory of Mind A)Sich in jemand anderen hinein versetzen B)Sich in jemand anderen hinein versetzen und sein eigenes Bewusstsein spüren C)Gsichtsausdrücke deuten,B
40,Was trifft auf die Broca Aphasie NICHT zu A)Agrammatismus B)Stockender Wortfluss C)Überschüssiger Redefluss D)Nicht flüssige Aphasie,C
41,Was trifft auf das Contention Scheduling und SAS zu? A)SAS greift wenn CS versagt B)SAS ist für gewohnte Abläufe zuständig C)CS ist ein komplexer Überwachungsmechnismus,A
42,Nennen Sie 3 Phasen der Psycho-sexuellem Entwicklung nach Freud und Ihren Altersspannen (Freitext Frage. Antwort nach der letzten Frage.),Orale Phase (0-2 J.)  Anale Phase (2-3 J.) Phallische Phase (3-5 J.) Latenzphase (6-12 J.) Genitale Phase (ab 12 J.)
43,Vier Komponenten der Reliabilität benennen (Freitext Frage. Antwort nach der letzten Frage.)Antworttext,"Retest-Reliabilität
Paralelltest-Reliabilität
Testhabilitierungs-Reliabilität
Interne Konsistenz"
44,SPIKES-Schema vier der sechs Bestandteile nennen  (Freitext Frage. Antwort nach der letzten Frage.),"Setting
Perception
Invitation
Knowledge
E: Emotions und Empathie
S: Strategy und Summary"
45,"Das Konfrontations-/Expositionsverfahren ist ein wichtiger Bestandteil der kognitiven Verhaltenstherapie, welches häufig bei der Therapie von Angststörungen eingesetzt wird. Was ist keine Form von Expositionsverfahren im Rahmen dieser Therapie?  A)systematische Desensibilisierung  B)Habituationstraining  C)Implosion  D)Flooding E)Kollision ",E
46,"Bei welchem Messverfahren handelt es sich um das effizienteste, die Leistung des Arbeitszeitgedächtnis zu überprüfen?  A)Proband wird gebeten eine Uhr mit Ziffernblatt, sowie Zeiger aufzumalen  B)Proband werden Wörter vorgelegt und er soll sie zu Wortpaaren zusammen fügen C)Stroop-Paradigma D)Proband bekommt eine Zahlenreihe vorgelesen und soll diese rückwärts aufsagen",D
47,Ein Patient mit Herzschrittmacher erleidet einen Hirninfarkt. Welches strukturell bildgebendes Verfahren sollte angewendet werden? A)MRT B)CT C)SPECT D)fMRT E)PET,B
48,Welche Störung ist bei einer Person mit einer Hippocampusathropie zu erwarten?  A)Priming B)Retrograde Amnesie C)Arbeitsgedächtnis D)Anterograde Amnesie E)Prozedurales Gedächtnis,D
49,Bei der visuellen Verarbeitung ist die Objekt-/Farberkennung („Was Pfad“) der visuellen Verarbeitung anzusiedeln im… A)caudaler Pfad  B)dorsaler Pfad C)inferiorer Pfad D)rostraler Pfad E)ventraler Pfad,E
50,"Schmerzverarbeitung erfolgt v.a. über…?1 Kommentar A)sensorisch-diskriminative, affektive, vegetative und kognitive Koomponente B)sensorisch-diskriminative, affektive, mimische und kognitive Komponente C)sensorisch-diskriminative, empathische, motorische und kognitive Komponente D)sensorisch-diskriminative, affektive, vegetative und motorische Komponente E)sensorische, motorische und psychologische Verhaltenskomponente ",D
